DAYWEEK,DAYMONTH,DAYYEAR,CANTIDAD_TOTAL
3,12,,205
2,15,288,163
5,22,53,11
3,20,171,7
2,19,78,12
7,5,96,128
5,26,26,5
5,31,213,96
6,1,182,5
7,4,308,1
1,23,357,161
5,28,59,164
3,22,204,74
5,6,249,109
7,29,210,6
2,28,240,8
7,23,266,7
7,8,98,3
6,13,165,154
3,7,219,144
2,13,72,10
4,26,299,2
6,1,32,185
7,8,281,11
4,17,,138
3,26,177,8
5,20,201,10
6,25,329,3
4,7,341,6
2,24,267,112
7,27,239,2
2,5,309,119
6,27,117,11
7,15,75,145
3,30,,142
3,13,44,11
4,14,135,193
6,8,159,17
5,5,,248
5,8,251,3
1,2,,456
1,17,351,11
4,9,129,8
1,4,35,17
7,6,279,185
4,18,108,11
7,10,69,5
1,20,,469
4,24,297,104
5,6,66,137
7,15,,494
5,23,,104
1,21,141,6
4,5,339,167
2,26,269,5
7,25,237,152
2,14,105,170
6,5,5,7
2,7,,409
2,9,99,10
2,7,311,9
6,10,,107
5,16,228,135
1,,,8504
6,4,186,53
6,14,348,155
5,1,60,9
4,16,320,7
